Date,SPY,GLD
2010-01-01,,
2010-01-04,113.33,109.8
2010-01-05,113.63,109.7
2010-01-06,113.71,111.51
2010-01-07,114.19,110.82
2010-01-08,114.57,111.37
2010-01-11,114.73,112.85
2010-01-12,113.66,110.49
2010-01-13,114.62,111.54
2010-01-14,114.93,112.03
2010-01-15,113.64,110.86
2010-01-18,,
2010-01-19,115.06,111.52
2010-01-20,113.89,108.94
2010-01-21,111.7,107.37
2010-01-22,109.21,107.17
2010-01-25,109.77,107.48
2010-01-26,109.31,107.56
2010-01-27,109.83,106.528
2010-01-28,108.57,106.48
2010-01-29,107.39,105.96
2010-02-01,109.06,108.35
2010-02-02,110.38,109.13
2010-02-03,109.83,108.7
2010-02-04,106.44,104.37
2010-02-05,106.66,104.68
2010-02-08,105.89,104.04
2010-02-09,107.22,105.41
2010-02-10,107.01,105.12
2010-02-11,108.13,107.13
2010-02-12,108.04,107.04
2010-02-15,,
2010-02-16,109.74,109.62
2010-02-17,110.26,109.25
2010-02-18,110.91,109.98
2010-02-19,111.14,109.47
2010-02-22,111.16,109.07
2010-02-23,109.81,107.89
2010-02-24,110.82,107.36
2010-02-25,110.67,108.31
2010-02-26,110.74,109.43
2010-03-01,111.89,109.43
2010-03-02,112.2,111.02
2010-03-03,112.3,111.63
2010-03-04,112.641,110.83
2010-03-05,114.25,110.81
2010-03-08,114.27,109.88
2010-03-09,114.46,109.718
2010-03-10,114.97,108.47
2010-03-11,115.45,108.6
2010-03-12,115.46,107.95
2010-03-15,115.49,108.36
2010-03-16,116.41,110.4
2010-03-17,117.1,109.59
2010-03-18,117.0375,110.34
2010-03-19,115.97,108.28
2010-03-22,116.5925,107.75
2010-03-23,117.41,108.32
2010-03-24,116.84,106.3
2010-03-25,116.65,106.78
2010-03-26,116.582,108.59
2010-03-29,117.32,108.75
2010-03-30,117.4,107.97
2010-03-31,117.0,108.95
2010-04-01,117.8,110.26
2010-04-02,,
2010-04-05,118.76,110.89
2010-04-06,119.04,111.03
2010-04-07,118.36,112.49
2010-04-08,118.7725,112.65
2010-04-09,119.55,113.64
2010-04-12,119.74,113.01
2010-04-13,119.83,112.69
2010-04-14,121.19,113.03
2010-04-15,121.29,113.65
2010-04-16,119.36,111.24
2010-04-19,119.81,111.15
2010-04-20,120.88,111.46
2010-04-21,120.66,112.31
2010-04-22,121.02,111.84
2010-04-23,121.8125,113.19
2010-04-26,121.35,112.75
2010-04-27,118.48,114.63
2010-04-28,119.38,114.31
2010-04-29,120.8575,114.28
2010-04-30,118.8125,115.36
2010-05-03,120.35,115.73
2010-05-04,117.52,114.87
2010-05-05,116.82,115.09
2010-05-06,112.942,118.486
2010-05-07,111.26,118.27
2010-05-10,116.16,117.57
2010-05-11,115.83,120.656
2010-05-12,117.45,121.4
2010-05-13,115.99,120.56
2010-05-14,113.89,120.37
2010-05-17,113.95,119.36
2010-05-18,112.4,119.49
2010-05-19,111.76,116.63
2010-05-20,107.54,115.84
2010-05-21,109.115,115.22
2010-05-24,107.71,116.84
2010-05-25,107.818,117.36
2010-05-26,107.17,118.470001
2010-05-27,110.76,118.69
2010-05-28,109.369,118.881
2010-05-31,,
2010-06-01,107.53,119.91
2010-06-02,110.33,119.78
2010-06-03,110.71,117.96
2010-06-04,106.82,119.19
2010-06-07,105.49,121.49
2010-06-08,106.62,121.0025
2010-06-09,106.05,120.56
2010-06-10,109.15,118.975
2010-06-11,109.68,120.01
2010-06-14,109.509,119.6
2010-06-15,112.0,120.99
2010-06-16,111.96,120.33
2010-06-17,112.14,121.9
2010-06-18,111.729,122.83
2010-06-21,111.41,120.39
2010-06-22,109.57,121.45
2010-06-23,109.23,120.95
2010-06-24,107.42,121.3
2010-06-25,107.8675,122.76
